"","X","Title","Author","Subject","Abstract","Meta"
"121",121,"a nonvariational form of the neumann problem for hölder continuous harmonic functions","m. lanza de cristoforis","analysis of pdes (math.ap)","we present a nonvariational setting for the neumann problem for harmonic functions that are hölder continuous and that may have infinite dirichlet integral. then we introduce a space of distributions on the boundary (a space of first order traces for hölder continuous harmonic functions), we analyze the properties of the corresponding distributional single layer potential and we prove a representation theorem for harmonic hölder continuous functions in terms of distributional single layer potentials. as an application, we solve the interior and exterior neumann problem with distributional data in the space of first order traces that has been introduced.",2024-03-22
"122",122,"perturbations in pde-constrained optimal control decay exponentially in space","simone göttlich, manuel schaller, karl worthmann","optimization and control (math.oc)","for linear-quadratic optimal control problems (ocps) governed by elliptic and parabolic partial differential equations (pdes), we investigate the impact of perturbations on optimal solutions. local perturbations may occur, e.g., due to discretization of the optimality system or disturbed problem data. whereas these perturbations may exhibit global effects in the uncontrolled case, we prove that the ramifications are exponentially damped in space under stabilizability- and detectability-like conditions. to this end, we prove a bound on the optimality condition's solution operator that is uniform in the domain size. then, this uniformity is used in a scaling argument to show the exponential decay of perturbations in space. we numerically validate and illustrate our results by solving ocps involving helmholtz, poisson, and advection-diffusion-reaction equations.",2024-03-22
"123",123,"estimation of multiple mean vectors in high dimension","gilles blanchard (lmo, datashape), jean-baptiste fermanian (lmo), hannah marienwald (bifold, tu)","machine learning (stat.ml)","we endeavour to estimate numerous multi-dimensional means of various probability distributions on a common space based on independent samples. our approach involves forming estimators through convex combinations of empirical means derived from these samples. we introduce two strategies to find appropriate data-dependent convex combination weights: a first one employing a testing procedure to identify neighbouring means with low variance, which results in a closed-form plug-in formula for the weights, and a second one determining weights via minimization of an upper confidence bound on the quadratic risk.through theoretical analysis, we evaluate the improvement in quadratic risk offered by our methods compared to the empirical means. our analysis focuses on a dimensional asymptotics perspective, showing that our methods asymptotically approach an oracle (minimax) improvement as the effective dimension of the data increases.we demonstrate the efficacy of our methods in estimating multiple kernel mean embeddings through experiments on both simulated and real-world datasets.",2024-03-22
"124",124,"ellipsoidal embeddings of graphs","michaël fanuel, antoine aspeel, michael t. schaub, jean-charles delvenne","social and information networks (cs.si)","due to their flexibility to represent almost any kind of relational data, graph-based models have enjoyed a tremendous success over the past decades. while graphs are inherently only combinatorial objects, however, many prominent analysis tools are based on the algebraic representation of graphs via matrices such as the graph laplacian, or on associated graph embeddings. such embeddings associate to each node a set of coordinates in a vector space, a representation which can then be employed for learning tasks such as the classification or alignment of the nodes of the graph. as the geometric picture provided by embedding methods enables the use of a multitude of methods developed for vector space data, embeddings have thus gained interest both from a theoretical as well as a practical perspective. inspired by trace-optimization problems, often encountered in the analysis of graph-based data, here we present a method to derive ellipsoidal embeddings of the nodes of a graph, in which each node is assigned a set of coordinates on the surface of a hyperellipsoid. our method may be seen as an alternative to popular spectral embedding techniques, to which it shares certain similarities we discuss. to illustrate the utility of the embedding we conduct a case study in which analyse synthetic and real world networks with modular structure, and compare the results obtained with known methods in the literature.",2024-03-22
"125",125,"precise measurement of the $e^+e^-\to d_s^+d_s^-$ cross sections at center-of-mass energies from threshold to . gev","besiii collaboration: m. ablikim, m. n. achasov, p. adlarson, o. afedulidis, x. c. ai, r. aliberti, a. amoroso, q. an, y. bai, o. bakina, i. balossino, y. ban, h.-r. bao, v. batozskaya, k. begzsuren, n. berger, m. berlowski, m. bertani, d. bettoni, f. bianchi, e. bianco, a. bortone, i. boyko, r. a. briere, a. brueggemann, h. cai, x. cai, a. calcaterra, g. f. cao, n. cao, s. a. cetin, j. f. chang, g. r. che, g. chelkov, c. chen, c. h. chen, chao chen, g. chen, h. s. chen, h. y. chen, m. l. chen, s. j. chen, s. l. chen, s. m. chen, t. chen, x. r. chen, x. t. chen, y. b. chen, y. q. chen, z. j. chen, z. y. chen, s. k. choi, g. cibinetto, f. cossio, j. j. cui, h. l. dai, j. p. dai, a. dbeyssi, r. e. de boer, d. dedovich, c. q. deng, z. y. deng, a. denig, i. denysenko, m. destefanis, f. de mori, b. ding, x. x. ding, y. ding, y. ding, j. dong, l. y. dong, m. y. dong, x. dong, m. c. du, s. x. du, y. y. duan, z. h. duan, p. egorov, y. h. fan, j. fang, j. fang, s. s. fang, w. x. fang, y. fang, y. q. fang, r. farinelli, l. fava, f. feldbauer, g. felici, c. q. feng, j. h. feng, y. t. feng, m. fritsch, c. d. fu, j. l. fu, y. w. fu, h. gao, x. b. gao

<!--
function toggleauthorlist(whichlayer,togglethis)
{
  var elem, vis, temptoggle;
  temptoggle=togglethis;
  if( document.getelementbyid ) // standard
      elem = document.getelementbyid( whichlayer );
  else if( document.all ) // old msie versions
      elem = document.all[whichlayer];
  else if( document.layers ) // nn
      elem = document.layers[whichlayer];
  vis = elem.style;
  // if the style.display value is blank we try to figure it out here
  if(vis.display==''&&elem.offsetwidth!=undefined&&elem.offsetheight!=undefined)
    vis.display = (elem.offsetwidth!=&&elem.offsetheight!=)?'inline':'none';
  vis.display = (vis.display==''||vis.display=='inline')?'none':'inline';

  // toggle link inner text
  status = vis.display;
  if(status=='none'){
      document.getelementbyid('toggle').innerhtml = temptoggle ;
      document.getelementbyid('toggle').title = ""show entire author list"";
  }
  else if(status=='inline'){
      document.getelementbyid('toggle').innerhtml = ""(collapse list)"";
      document.getelementbyid('toggle').title = ""collapse author list"";
  }
}
//-->

        , y. n. gao, yang gao, s. garbolino, i. garzia, l. ge, p. t. ge, z. w. ge, c. geng, e. m. gersabeck, a. gilman, k. goetzen, l. gong, w. x. gong, w. gradl, s. gramigna, m. greco, m. h. gu, y. t. gu, c. y. guan, a. q. guo, l. b. guo, m. j. guo, r. p. guo, y. p. guo, a. guskov, j. gutierrez, k. l. han, t. t. han, f. hanisch, x. q. hao, f. a. harris, k. k. he, k. l. he, f. h. heinsius, c. h. heinz, y. k. heng, c. herold, t. holtmann, p. c. hong, g. y. hou, x. t. hou, y. r. hou, z. l. hou, b. y. hu, h. m. hu, j. f. hu, s. l. hu, t. hu, y. hu, g. s. huang, k. x. huang, l. q. huang, x. t. huang, y. p. huang, y. s. huang, t. hussain, f. hölzken, n. hüsken, n. in der wiesche, j. jackson, s. janchiv, j. h. jeong, q. ji, q. p. ji, w. ji, x. b. ji, x. l. ji, y. y. ji, x. q. jia, z. k. jia, d. jiang, h. b. jiang, p. c. jiang, s. s. jiang, t. j. jiang, x. s. jiang, y. jiang, j. b. jiao, j. k. jiao, z. jiao, s. jin, y. jin, m. q. jing, x. m. jing, t. johansson, s. kabana, n. kalantar-nayestanaki, x. l. kang, x. s. kang, m. kavatsyuk, b. c. ke, v. khachatryan, a. khoukaz, r. kiuchi, o. b. kolcu, b. kopf, m. kuessner, x. kui, n. kumar, a. kupsc, w. kühn, j. j. lane, p. larin, l. lavezzi, t. t. lei, z. h. lei, m. lellmann, t. lenz, c. li, c. li, c. h. li, cheng li, d. m. li, f. li, g. li, h. b. li, h. j. li, h. n. li, hui li, j. r. li, j. s. li, k. li, l. j. li, l. k. li, lei li, m. h. li, p. r. li, q. m. li, q. x. li, r. li, s. x. li, t. li, w. d. li, w. g. li, x. li, x. h. li, x. l. li, x. y. li, x. z. li, y. g. li, z. j. li, z. y. li, c. liang, h. liang, h. liang, y. f. liang, y. t. liang, g. r. liao, l. z. liao, y. p. liao, j. libby, a. limphirat, c. c. lin, d. x. lin, t. lin, b. j. liu, b. x. liu, c. liu, c. x. liu, f. liu, f. h. liu, feng liu, g. m. liu, h. liu, h. b. liu, h. h. liu, h. m. liu, huihui liu, j. b. liu, j. y. liu, k. liu, k. y. liu, ke liu, l. liu, l. c. liu, lu liu, m. h. liu, p. l. liu, q. liu, s. b. liu, t. liu, w. k. liu, w. m. liu, x. liu, x. liu, y. liu, y. liu, y. b. liu, z. a. liu, z. d. liu, z. q. liu, x. c. lou, f. x. lu, h. j. lu, j. g. lu, x. l. lu, y. lu, y. p. lu, z. h. lu, c. l. luo, j. r. luo, m. x. luo, t. luo, x. l. luo, x. r. lyu, y. f. lyu, f. c. ma, h. ma, h. l. ma, j. l. ma, l. l. ma, m. m. ma, q. m. ma, r. q. ma, t. ma, x. t. ma, x. y. ma, y. ma, y. m. ma, f. e. maas, m. maggiora, s. malde, y. j. mao, z. p. mao, s. marcello, z. x. meng, j. g. messchendorp, g. mezzadri, h. miao, t. j. min, r. e. mitchell, x. h. mo, b. moses, n. yu. muchnoi, j. muskalla, y. nefedov, f. nerling, l. s. nie, i. b. nikolaev, z. ning, s. nisar, q. l. niu, w. d. niu, y. niu, s. l. olsen, q. ouyang, s. pacetti, x. pan, y. pan, a. pathak, p. patteri, y. p. pei, m. pelizaeus, h. p. peng, y. y. peng, k. peters, j. l. ping, r. g. ping, s. plura, v. prasad, f. z. qi, h. qi, h. r. qi, m. qi, t. y. qi, s. qian, w. b. qian, c. f. qiao, x. k. qiao, j. j. qin, l. q. qin, l. y. qin, x. s. qin, z. h. qin, j. f. qiu, z. h. qu, c. f. redmer, k. j. ren, a. rivetti, m. rolo, g. rong, ch. rosner, s. n. ruan, n. salone, a. sarantsev, y. schelhaas, k. schoenning, m. scodeggio, k. y. shan, w. shan, x. y. shan, z. j. shang, j. f. shangguan, l. g. shao, m. shao, c. p. shen, h. f. shen, w. h. shen, x. y. shen, b. a. shi, h. shi, h. c. shi, j. l. shi, j. y. shi, q. q. shi, s. y. shi, x. shi, j. j. song, t. z. song, w. m. song, y. j. song, y. x. song, s. sosio, s. spataro, f. stieler, y. j. su, g. b. sun, g. x. sun, h. sun, h. k. sun, j. f. sun, k. sun, l. sun, s. s. sun, t. sun, w. y. sun, y. sun, y. j. sun, y. z. sun, z. q. sun, z. t. sun, c. j. tang, g. y. tang, j. tang, m. tang, y. a. tang, l. y. tao, q. t. tao, m. tat, j. x. teng, v. thoren, w. h. tian, y. tian, z. f. tian, i. uman, y. wan, s. j. wang, b. wang, b. l. wang, bo wang, d. y. wang, f. wang, h. j. wang, j. j. wang, j. p. wang, k. wang, l. l. wang, m. wang, n. y. wang, s. wang, s. wang, t. wang, t. j. wang, w. wang, w. wang, w. p. wang, x. wang, x. f. wang, x. j. wang, x. l. wang, x. n. wang, y. wang, y. d. wang, y. f. wang, y. l. wang, y. n. wang, y. q. wang, yaqian wang, yi wang, z. wang, z. l. wang, z. y. wang, ziyi wang, d. h. wei, f. weidner, s. p. wen, y. r. wen, u. wiedner, g. wilkinson, m. wolke, l. wollenberg, c. wu, j. f. wu, l. h. wu, l. j. wu, x. wu, x. h. wu, y. wu, y. h. wu, y. j. wu, z. wu, l. xia, x. m. xian, b. h. xiang, t. xiang, d. xiao, g. y. xiao, s. y. xiao, y. l. xiao, z. j. xiao, c. xie, x. h. xie, y. xie, y. g. xie, y. h. xie, z. p. xie, t. y. xing, c. f. xu, c. j. xu, g. f. xu, h. y. xu, m. xu, q. j. xu, q. n. xu, w. xu, w. l. xu, x. p. xu, y. c. xu, z. p. xu, z. s. xu, f. yan, l. yan, w. b. yan, w. c. yan, x. q. yan, h. j. yang, h. l. yang, h. x. yang, t. yang, y. yang, y. f. yang, y. f. yang, y. x. yang, z. w. yang, z. p. yao, m. ye, m. h. ye, j. h. yin, z. y. you, b. x. yu, c. x. yu, g. yu, j. s. yu, t. yu, x. d. yu, y. c. yu, c. z. yuan, j. yuan, j. yuan, l. yuan, s. c. yuan, y. yuan, z. y. yuan, c. x. yue, a. a. zafar, f. r. zeng, s. h. zeng, x. zeng, y. zeng, y. j. zeng, y. j. zeng, x. y. zhai, y. c. zhai, y. h. zhan, a. q. zhang, b. l. zhang, b. x. zhang, d. h. zhang, g. y. zhang, h. zhang, h. zhang, h. c. zhang, h. h. zhang, h. h. zhang, h. q. zhang, h. r. zhang, h. y. zhang, j. zhang, j. zhang, j. j. zhang, j. l. zhang, j. q. zhang, j. s. zhang, j. w. zhang, j. x. zhang, j. y. zhang, j. z. zhang, jianyu zhang, l. m. zhang, lei zhang, p. zhang, q. y. zhang, r. y. zhang, s. h. zhang, shulei zhang, x. d. zhang, x. m. zhang, x. y. zhang, y. zhang, y. zhang, y. t. zhang, y. h. zhang, y. m. zhang, yan zhang, z. d. zhang, z. h. zhang, z. l. zhang, z. y. zhang, z. y. zhang, z. z. zhang, g. zhao, j. y. zhao, j. z. zhao, l. zhao, lei zhao, m. g. zhao, n. zhao, r. p. zhao, s. j. zhao, y. b. zhao, y. x. zhao, z. g. zhao, a. zhemchugov, b. zheng, b. m. zheng, j. p. zheng, w. j. zheng, y. h. zheng, b. zhong, x. zhong, h. zhou, j. y. zhou, l. p. zhou, s. zhou, x. zhou, x. k. zhou, x. r. zhou, x. y. zhou, y. z. zhou, j. zhu, k. zhu, k. j. zhu, k. s. zhu, l. zhu, l. x. zhu, s. h. zhu, s. q. zhu, t. j. zhu, w. d. zhu, y. c. zhu, z. a. zhu, j. h. zou, j. zu
  
  
    et al. ( additional authors not shown)
   you must enable javascript to view entire author list.","high energy physics - experiment (hep-ex)","using the $e^+e^-$ collision data collected with the besiii detector operating at the bepcii collider, at center-of-mass energies from the threshold to $.$~gev, we present precise measurements of the cross sections for the process $e^+e^-\to d_s^+d_s^-$ using a single tag method. the resulting cross section lineshape exhibits several new structures, thereby offering an input for coupled channel analysis and model tests, which are critical to understand vector charmonium-like states with masses between  and ~gev.",2024-03-22
"126",126,"risk and response in large language models: evaluating key threat categories","bahareh harandizadeh, abel salinas, fred morstatter","computation and language (cs.cl)","this paper explores the pressing issue of risk assessment in large language models (llms) as they become increasingly prevalent in various applications. focusing on how reward models, which are designed to fine-tune pretrained llms to align with human values, perceive and categorize different types of risks, we delve into the challenges posed by the subjective nature of preference-based training data. by utilizing the anthropic red-team dataset, we analyze major risk categories, including information hazards, malicious uses, and discrimination/hateful content. our findings indicate that llms tend to consider information hazards less harmful, a finding confirmed by a specially developed regression model. additionally, our analysis shows that llms respond less stringently to information hazards compared to other risks. the study further reveals a significant vulnerability of llms to jailbreaking attacks in information hazard scenarios, highlighting a critical security concern in llm risk assessment and emphasizing the need for improved ai safety measures.",2024-03-22
"127",127,"two-scale analysis for multiscale landau-lifshitz-gilbert equation: theory and numerical methods","xiaofei guan, hang qi, zhiwei sun","numerical analysis (math.na)","this paper discusses the theory and numerical method of two-scale analysis for the multiscale landau-lifshitz-gilbert equation in composite ferromagnetic materials. the novelty of this work can be summarized in three aspects: firstly, the more realistic and complex model is considered, including the effects of the exchange field, anisotropy field, stray field, and external magnetic field. the explicit convergence orders in the $h^$ norm between the classical solution and the two-scale solution are obtained. secondly, we propose a robust numerical framework, which is employed in several comprehensive experiments to validate the convergence results for the periodic and neumann problems. thirdly, we design an improved implicit numerical scheme to reduce the required number of iterations and relaxes the constraints on the time step size, which can significantly improve computational efficiency. specifically, the projection and the expansion methods are given to overcome the inherent non-consistency in the initial data between the multiscale problem and homogenized problem.",2024-03-22
"128",128,"creating a spatial vulnerability index for environmental health","aiden price, kerrie mengersen, michael rigby, paula fiévez","methodology (stat.me)","extreme natural hazards are increasing in frequency and intensity. these natural changes in our environment, combined with man-made pollution, have substantial economic, social and health impacts globally. the impact of the environment on human health (environmental health) is becoming well understood in international research literature. however, there are significant barriers to understanding key characteristics of this impact, related to substantial data volumes, data access rights and the time required to compile and compare data over regions and time. this study aims to reduce these barriers in australia by creating an open data repository of national environmental health data and presenting a methodology for the production of health outcome-weighted population vulnerability indices related to extreme heat, extreme cold and air pollution at various temporal and geographical resolutions.
current state-of-the-art methods for the calculation of vulnerability indices include equal weight percentile ranking and the use of principal component analysis (pca). the weighted vulnerability index methodology proposed in this study offers an advantage over others in the literature by considering health outcomes in the calculation process. the resulting vulnerability percentiles more clearly align population sensitivity and adaptive capacity with health risks. the temporal and spatial resolutions of the indices enable national monitoring on a scale never before seen across australia. additionally, we show that a weekly temporal resolution can be used to identify spikes in vulnerability due to changes in relative national environmental exposure.",2024-03-22
"129",129,"addressing concept shift in online time series forecasting: detect-then-adapt","yifan zhang, weiqi chen, zhaoyang zhu, dalin qin, liang sun, xue wang, qingsong wen, zhang zhang, liang wang, rong jin","machine learning (cs.lg)","online updating of time series forecasting models aims to tackle the challenge of concept drifting by adjusting forecasting models based on streaming data. while numerous algorithms have been developed, most of them focus on model design and updating. in practice, many of these methods struggle with continuous performance regression in the face of accumulated concept drifts over time. to address this limitation, we present a novel approach, concept \textbf{d}rift \textbf{d}etection an\textbf{d} \textbf{a}daptation (da), that first detects drifting conception and then aggressively adapts the current model to the drifted concepts after the detection for rapid adaption. to best harness the utility of historical data for model adaptation, we propose a data augmentation strategy introducing gaussian noise into existing training instances. it helps mitigate the data distribution gap, a critical factor contributing to train-test performance inconsistency. the significance of our data augmentation process is verified by our theoretical analysis. our empirical studies across six datasets demonstrate the effectiveness of da in improving model adaptation capability. notably, compared to a simple temporal convolutional network (tcn) baseline, da reduces the average mean squared error (mse) by $.\%$. for the state-of-the-art (sota) model, the mse is reduced by $.\%$.",2024-03-22
"130",130,"contrastive learning on multimodal analysis of electronic health records","tianxi cai, feiqing huang, ryumei nakada, linjun zhang, doudou zhou","machine learning (stat.ml)","electronic health record (ehr) systems contain a wealth of multimodal clinical data including structured data like clinical codes and unstructured data such as clinical notes. however, many existing ehr-focused studies has traditionally either concentrated on an individual modality or merged different modalities in a rather rudimentary fashion. this approach often results in the perception of structured and unstructured data as separate entities, neglecting the inherent synergy between them. specifically, the two important modalities contain clinically relevant, inextricably linked and complementary health information. a more complete picture of a patient's medical history is captured by the joint analysis of the two modalities of data. despite the great success of multimodal contrastive learning on vision-language, its potential remains under-explored in the realm of multimodal ehr, particularly in terms of its theoretical understanding. to accommodate the statistical analysis of multimodal ehr data, in this paper, we propose a novel multimodal feature embedding generative model and design a multimodal contrastive loss to obtain the multimodal ehr feature representation. our theoretical analysis demonstrates the effectiveness of multimodal learning compared to single-modality learning and connects the solution of the loss function to the singular value decomposition of a pointwise mutual information matrix. this connection paves the way for a privacy-preserving algorithm tailored for multimodal ehr feature representation learning. simulation studies show that the proposed algorithm performs well under a variety of configurations. we further validate the clinical utility of the proposed algorithm in real-world ehr data.",2024-03-22
"131",131,"computational approaches for exponential-family factor analysis","liang wang, luis carvalho","methodology (stat.me)","we study a general factor analysis framework where the $n$-by-$p$ data matrix is assumed to follow a general exponential family distribution entry-wise. while this model framework has been proposed before, we here further relax its distributional assumption by using a quasi-likelihood setup. by parameterizing the mean-variance relationship on data entries, we additionally introduce a dispersion parameter and entry-wise weights to model large variations and missing values. the resulting model is thus not only robust to distribution misspecification but also more flexible and able to capture non-gaussian covariance structures of the data matrix. our main focus is on efficient computational approaches to perform the factor analysis. previous modeling frameworks rely on simulated maximum likelihood (sml) to find the factorization solution, but this method was shown to lead to asymptotic bias when the simulated sample size grows slower than the square root of the sample size $n$, eliminating its practical application for data matrices with large $n$. borrowing from expectation-maximization (em) and stochastic gradient descent (sgd), we investigate three estimation procedures based on iterative factorization updates. our proposed solution does not show asymptotic biases, and scales even better for large matrix factorizations with error $o(/p)$. to support our findings, we conduct simulation experiments and discuss its application in three case studies.",2024-03-22
"132",132,"analysis of log data from an international online educational assessment system: a multi-state survival modeling approach to reaction time between and across action sequence","jina park, ick hoon jin, minjeong jeon","applications (stat.ap)","with increasingly available computer-based or online assessments, researchers have shown keen interest in analyzing log data to improve our understanding of test takers' problem-solving processes. in this paper, we propose a multi-state survival model (msm) to action sequence data from log files, focusing on modeling test takers' reaction times between actions, in order to investigate which factors and how they influence test takers' transition speed between actions. in particular, we focus on the effects of the occurrence and timing of key actions that differentiate correct answers from incorrect answers. we demonstrate our proposed approach with problem-solving test items from the the programme for international assessment of adult competence (piaac) problem-solving test items.",2024-03-22
"133",133,"unraveling contagion origins: optimal estimation through maximum-likelihood and starlike tree approximation in markovian spreading models","pei-duo yu, chee wei tan, liang zheng, chao zhao","social and information networks (cs.si)","identifying the source of epidemic-like spread in networks is crucial for tasks like removing internet viruses or finding the rumor source in online social networks. the challenge lies in tracing the source from a snapshot observation of infected nodes. how do we accurately pinpoint the source? utilizing snapshot data, we apply a probabilistic approach, focusing on the graph boundary and the observed time, to detect sources via an effective maximum likelihood algorithm. a novel starlike tree approximation extends applicability to general graphs, demonstrating versatility. we highlight the utility of the gamma function for analyzing the asymptotic behavior of the likelihood ratio between nodes. comprehensive evaluations confirm algorithmic effectiveness in diverse network scenarios, advancing rumor source detection in large-scale network analysis and information dissemination strategies.",2024-03-22
"134",134,"description of cuinp$_{}$s$_{}$ ferrielectrics in a mixed ising model","r. yevych, v. liubachko, v. hryts, m. medulych, a. kohutych, yu. vysochanskii","soft condensed matter (cond-mat.soft)","the appearance of spontaneous polarization in cuinp$_{}$s$_{}$ ferrielectrics is related to the second order jahn-teller effect for copper cations located in a double-well local potential, the stereoactivity of indium cations located in a three-well local potential, as well as the valence fluctuations of phosphorus cations. the paraelectric to ferrielectric phase transition is primarily determined by the coupling of indium cations with their surroundings. this transition can be analyzed using the mixed ising model with spins $s = /$ and $s = $. the spectrum of pseudospin fluctuations at different temperatures was calculated using a mean-field approach for a set of quantum anharmonic oscillators. the results were then compared with raman spectroscopy data for cuinp$_{}$s$_{}$ crystal. the analysis indicates that the lattice anharmonicity below  k, is mainly determined by the indium sublattice, leading to the coexistence of the glassy state and ferrielectric phase. above  k, the anharmonicity of the copper sublattice activates the ionic conductivity and results in the existence of a long-ranged fluctuated cluster of spontaneous polarization in a temperature interval of the paraelectric phase above $t_{c}$.",2024-03-21
"135",135,"revisiting the wetting behavior of solid surfaces by water-like models within a density functional theory","a. kozina, m. aguilar, o. pizio, s. sokołowski","soft condensed matter (cond-mat.soft)","we perform the analysis of predictions of a classical density functional theory for associating fluids with different association strength concerned with wetting of solid surfaces. the four associating sites water-like models with non-associative square-well attraction parametrized by clark et al. [mol. phys., , , ] are considered. the fluid-solid potential is assumed to have a -- functional form. the growth of water film on the substrate upon changing the chemical potential is described. the wetting and prewetting critical temperatures, as well as the prewetting phase diagram are evaluated for different fluid-solid attraction strength from the analysis of the adsorption isotherms. moreover, the temperature dependence of the contact angle is obtained from the young equation. it yields estimates for the wetting temperature as well. theoretical findings are compared with experimental results and in a few cases with data from computer simulations. the theory is successful and quite accurate in describing the wetting temperature and contact angle changes with temperature for different values of fluid-substrate attraction. moreover, the method provides an easy tool to study other associating fluids on solids of importance for chemical engineering, in comparison with laboratory experiments and computer simulations.",2024-03-21
"136",136,"non-holomorphic modular forms from zeta generators","daniele dorigoni, mehregan doroudiani, joshua drewitt, martijn hidding, axel kleinschmidt, oliver schlotterer, leila schneps, bram verbeek","high energy physics - theory (hep-th)","we study non-holomorphic modular forms built from iterated integrals of holomorphic modular forms for sl$(,\mathbb z)$ known as equivariant iterated eisenstein integrals. a special subclass of them furnishes an equivalent description of the modular graph forms appearing in the low-energy expansion of string amplitudes at genus one. notably the fourier expansion of modular graph forms contains single-valued multiple zeta values. we deduce the appearance of products and higher-depth instances of multiple zeta values in equivariant iterated eisenstein integrals, and ultimately modular graph forms, from the appearance of simpler odd riemann zeta values. this analysis relies on so-called zeta generators which act on certain non-commutative variables in the generating series of the iterated integrals. from an extension of these non-commutative variables we incorporate iterated integrals involving holomorphic cusp forms into our setup and use them to construct the modular completion of triple eisenstein integrals. our work represents a fully explicit realisation of the modular graph forms within brown's framework of equivariant iterated eisenstein integrals and reveals structural analogies between single-valued period functions appearing in genus zero and one string amplitudes.",2024-03-21
"137",137,"normalizing flows for domain adaptation when identifying $λ$ hyperon events","rowan kelleher, anselm vossen","data analysis, statistics and probability (physics.data-an)","this study focuses on the novel application of a normalizing flow as a method of domain adaptation. normalizing flows offer a way to transform data points between two different distributions. the present study investigates a method of transforming latent representations of physics data to a normal distribution and then to a physics distribution again. the final distribution models a simulated distribution. following the transformation process, the data can be classified by a neural network trained on labeled simulation data. the present study succeeds in training two normalizing flows that can transform between data (or simulation) and a gaussian distribution.",2024-03-21
"138",138,"identifying attention-deficit/hyperactivity disorder through the electroencephalogram complexity","dimitri marques abramov, henrique santos lima, vladimir lazarev, paulo ricardo galhanone, constantino tsallis","neurons and cognition (q-bio.nc)","there are reasons to suggest that a number of mental disorders may be related to alteration in the neural complexity (nc). thus, quantitative analysis of nc could be helpful in classifying mental conditions and clarifying our understanding about them. here, we have worked with youths, typical and with attention-deficit/hyperactivity disorder (adhd), whose neural complexity was assessed using q-statistics applied to the electroencephalogram (eeg). the eeg was recorded while subjects performed the visual attention network test (ant) based on the oddball paradigm and during a shortpretask period of resting state. time intervals of the eeg amplitudes that passed a threshold (signal regularity indicator) were collected from task and pretask signals from each subject. the data were satisfactorily fitted with a stretched $q$-exponential including a power-law prefactor(characterized by the exponent c), thus determining the best $(c, q)$ for each subject, indicative of their individual complexity. we found larger values of $q$ and $c$ in adhd subjects as compared with the typical subjects both at task and pretask periods, the task values for both groups being larger than at rest. the $c$ parameter was highly specific in relation to dsm diagnosis for inattention, where well-defined clusters were observed. the parameter values were organized in four well-defined clusters in $(c, q)$-space. as expected, the tasks apparently induced greater complexity in neural functional states with likely greater amount of internal information processing. the results suggest that complexity is higher in adhd subjects than in typical pairs. the distribution of values in the $(c, q)$-space derived from $q$-statistics seems to be a promising biomarker for adhd diagnosis.",2024-03-21
"139",139,"background information: a study on the sensitivity of astrophysical gravitational-wave background searches","arianna i. renzini, thomas a. callister, katerina chatziioannou, will m. farr","high energy astrophysical phenomena (astro-ph.he)","the vast majority of gravitational-wave signals from stellar-mass compact binary mergers are too weak to be individually detected with present-day instruments and instead contribute to a faint, persistent background. this astrophysical background is targeted by searches that model the gravitational-wave ensemble collectively with a small set of parameters. the traditional search models the background as a stochastic field and estimates its amplitude by cross-correlating data from multiple interferometers. a different search uses gravitational-wave templates to marginalize over all individual event parameters and measure the duty cycle and population properties of binary mergers. both searches ultimately estimate the total merger rate of compact binaries and are expected to yield a detection in the coming years. given the conceptual and methodological differences between them, though, it is not well understood how their results should be mutually interpreted. in this paper, we use the fisher information to study the implications of a background detection in terms of which region of the universe each approach probes. specifically, we quantify how information about the compact binary merger rate is accumulated by each search as a function of the event redshift. for the ligo design sensitivity and a uniform-in-comoving-volume distribution of equal-mass m_sol binaries, the traditional cross-correlation search obtains % of its information from binaries up to redshift . (average signal-to-noise-ratio <), and the template-based search from binaries up to redshift . (average signal-to-noise-ratio ~). while we do not calculate the total information accumulated by each search, our analysis emphasizes the need to pair any claimed detection of the stochastic background with an assessment of which binaries contribute to said detection.",2024-03-21
"140",140,"the central black hole in the dwarf spheroidal galaxy leo i not supermassive, at most an intermediate-mass candidate","r. pascale, c. nipoti, f. calura, a. della croce","astrophysics of galaxies (astro-ph.ga)","it has been recently claimed that a surprisingly massive black hole (bh) is present in the core of the dwarf spheroidal galaxy (dsph) leo i. based on integral field spectroscopy, this finding challenges the typical expectation of dsphs hosting bhs of intermediate-mass, since such a bh would better be classified as supermassive. indeed, the analysis points toward leo i harboring a bh with a lower mass limit exceeding a few $^m_\odot$ at $\sigma$, and the no bh case excluded at \% significance. such a value, comparable to the entire stellar mass of the galaxy, makes leo i a unique system that warrants further investigations. using equilibrium models based on distribution functions (dfs) depending on actions $f({\boldsymbol j})$ coupled with the same integral field spectroscopy data and an extensive exploration of a very large parameter space, we demonstrate, within a comprehensive bayesian framework of model-data comparison, that the posterior on the bh mass is flat towards the low-mass end and, thus, that the kinematics of the central galaxy region only imposes an upper limit on the bh mass of few $^m_\odot$ (at $\sigma$). such an upper limit brings back the putative bh of leo i under the category of intermediate-mass bhs, and it is also in line with formation scenarios and expectations from scaling relations at the mass regime of dwarf galaxies.",2024-03-21
